Country,C-rate,number of cycles,WACC,inflation rate,discount rate,CAPEX [EUR],OPEX rate,levelized ROI
CZ,0.5,2.0,0.12,0.029,0.12,2146560.0000000005,0.02,1.4811447936146633

Year,Yearly profits [EUR],OPEX [EUR],Discount factor,Discounted CF [EUR]
1,886707.0597402133,42931.20000000001,0.8928571428571428,753371.303339476
2,912421.5644726794,42931.20000000001,0.7971938775510203,693152.3951472251
3,938881.7898423872,42931.20000000001,0.7117802478134109,637719.932866586
4,966109.3617478163,42931.20000000001,0.6355180784048311,586696.4113792765
5,994126.5332385028,42931.20000000001,0.5674268557185992,539733.7771137287
6,1022956.2027024193,42931.20000000001,0.5066311211773206,496511.1659009333
7,1052621.9325807893,42931.20000000001,0.4523492153368934,456732.8106158531
8,1083147.968625632,42931.20000000001,0.40388322797936904,420126.1063107888
9,1114559.2597157755,42931.20000000001,0.36061002498157946,386439.8213850673
10,1146881.4782475329,42931.20000000001,0.32197323659069593,355442.44412255747
