Country,C-rate,number of cycles,yearly profits [kEUR/MW],levelized ROI [%]
CZ,0.5,2.0,48.16,-79.8
CZ,0.5,1.0,48.16,-79.8
CZ,0.5,1.5,48.16,-79.8
CZ,0.33,1.0,48.4,-88.81
CZ,0.33,2.0,48.4,-88.81
CZ,0.33,1.5,48.4,-88.81
CZ,0.25,1.5,48.56,-93.57
CZ,0.25,1.0,48.56,-93.57
CZ,0.25,2.0,48.56,-93.57
CH,0.5,1.0,27.25,-94.38
CH,0.5,2.0,27.25,-94.38
CH,0.5,1.5,27.25,-94.38
AT,0.5,2.0,23.78,-94.58
AT,0.5,1.0,23.78,-94.58
AT,0.5,1.5,23.78,-94.58
DE,0.5,1.0,24.73,-94.81
DE,0.5,1.5,24.73,-94.81
DE,0.5,2.0,24.73,-94.81
AT,0.33,1.0,24.12,-99.79
AT,0.33,1.5,24.12,-99.79
AT,0.33,2.0,24.12,-99.79
CH,0.33,2.0,27.29,-99.82
CH,0.33,1.0,27.29,-99.82
CH,0.33,1.5,27.29,-99.82
DE,0.33,1.5,25.05,-99.98
DE,0.33,1.0,25.05,-99.98
DE,0.33,2.0,25.05,-99.98
AT,0.25,1.0,24.34,-102.58
AT,0.25,1.5,24.34,-102.58
AT,0.25,2.0,24.34,-102.58
CH,0.25,1.5,27.32,-102.69
CH,0.25,2.0,27.32,-102.69
CH,0.25,1.0,27.32,-102.69
DE,0.25,2.0,25.24,-102.74
DE,0.25,1.0,25.24,-102.74
DE,0.25,1.5,25.24,-102.74
HU,0.5,1.5,5.89,-106.42
HU,0.5,1.0,5.89,-106.42
HU,0.5,2.0,5.89,-106.42
HU,0.33,1.0,6.09,-107.38
HU,0.33,1.5,6.09,-107.38
HU,0.33,2.0,6.09,-107.38
HU,0.25,1.0,6.16,-107.93
HU,0.25,1.5,6.16,-107.93
HU,0.25,2.0,6.16,-107.93
