Country,C-rate,number of cycles,WACC,inflation rate,discount rate,CAPEX [EUR],OPEX [EUR],levelized ROI
CZ,0.5,1.0,0.12,0.029,0.12,2146560.0000000005,42931.20000000001,-0.7979646588046353

Year,Yearly profits [EUR],OPEX [EUR],Discount factor,Discounted CF [EUR]
1,107683.86432372639,42931.20000000001,0.8928571428571428,57814.87886046997
2,110806.69638911444,42931.20000000001,0.7971938775510203,54109.930157138406
3,114020.09058439877,42931.20000000001,0.7117802478134109,50599.6681569438
4,117326.67321134632,42931.20000000001,0.6355180784048311,47279.66817729289
5,120729.14673447533,42931.20000000001,0.5674268557185992,44144.644296906394
6,124230.29198977511,42931.20000000001,0.5066311211773206,41188.650125477885
7,127832.97045747859,42931.20000000001,0.4523492153368934,38405.249247153464
8,131540.12660074545,42931.20000000001,0.40388322797936904,35787.65930329605
9,135354.79027216707,42931.20000000001,0.36061002498157946,33328.873196933426
10,139280.07919005989,42931.20000000001,0.32197323659069593,31021.760474709525
